"","injuries","crash_date","crash_hour","report_type","num_units","posted_speed_limit","weather_condition","lighting_condition","roadway_surface_cond","first_crash_type","trafficway_type","prim_contributory_cause","latitude","longitude"
"46","none",2021-11-24 20:18:00,20,"NOT ON SCENE (DESK REPORT)",2,35,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","UNABLE TO DETERMINE",41.857606064,-87.710147113
"47","none",2021-11-24 20:00:00,20,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)","UNABLE TO DETERMINE",41.721650718,-87.637217213
"48","none",2021-11-24 20:00:00,20,"NOT ON SCENE (DESK REPORT)",2,10,"RAIN","DARKNESS, LIGHTED ROAD","WET","PARKED MOTOR VEHICLE","PARKING LOT","UNABLE TO DETERMINE",41.968926237,-87.674586492
"49","none",2021-11-24 19:50:00,19,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","ANGLE","PARKING LOT","UNABLE TO DETERMINE",41.737039831,-87.584476912
"50","injuries",2021-11-24 19:10:00,19,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","PEDESTRIAN","FOUR WAY","FAILING TO YIELD RIGHT-OF-WAY",41.836477209,-87.619591876
"51","injuries",2021-11-24 18:50:00,18,"ON SCENE",4,15,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","ANGLE","PARKING LOT","UNABLE TO DETERMINE",41.866290655,-87.724561775
"52","none",2021-11-24 18:45:00,18,"ON SCENE",2,35,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","ANGLE","NOT DIVIDED","FAILING TO YIELD RIGHT-OF-WAY",41.864985695,-87.676051659
"53","none",2021-11-24 18:45:00,18,"NOT ON SCENE (DESK REPORT)",2,20,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","REAR TO FRONT","ONE-WAY","UNABLE TO DETERMINE",41.97160605,-87.724641388
"54","none",2021-11-24 18:45:00,18,"ON SCENE",2,25,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER","UNABLE TO DETERMINE",41.879562664,-87.666898036
"55","none",2021-11-24 18:45:00,18,"NOT ON SCENE (DESK REPORT)",2,35,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","REAR END","FIVE POINT, OR MORE","NOT APPLICABLE",41.706656303,-87.657188513
"56","none",2021-11-24 18:37:00,18,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","IMPROPER LANE USAGE",41.90304565,-87.629893203
"57","none",2021-11-24 18:35:00,18,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","UNABLE TO DETERMINE",41.997332499,-87.787296293
"58","none",2021-11-24 18:30:00,18,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","UNABLE TO DETERMINE",41.976219979,-87.659359756
"59","none",2021-11-24 18:28:00,18,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","UNABLE TO DETERMINE",41.807832214,-87.735210721
"60","none",2021-11-24 18:25:00,18,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","UNKNOWN","TURNING","ONE-WAY","FAILING TO YIELD RIGHT-OF-WAY",41.677994175,-87.661521317
"61","injuries",2021-11-24 18:24:00,18,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN (NOT RAISED)","UNABLE TO DETERMINE",41.911938713,-87.687116672
"62","injuries",2021-11-24 18:10:00,18,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","ANGLE","TRAFFIC ROUTE","FAILING TO YIELD RIGHT-OF-WAY",41.891421947,-87.755040707
"63","none",2021-11-24 18:09:00,18,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAWN","DRY","REAR END","NOT DIVIDED","FOLLOWING TOO CLOSELY",41.719399903,-87.669943879
"64","none",2021-11-24 18:00:00,18,"ON SCENE",1,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","TRAIN","OTHER","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",41.821944833,-87.743676596
"65","none",2021-11-24 18:00:00,18,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","REAR END","NOT DIVIDED","FAILING TO REDUCE SPEED TO AVOID CRASH",41.778590253,-87.726572004
"66","none",2021-11-24 18:00:00,18,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","UNABLE TO DETERMINE",41.809413553,-87.607085562
"67","injuries",2021-11-24 18:00:00,18,"ON SCENE",2,20,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","PEDESTRIAN","DIVIDED - W/MEDIAN (NOT RAISED)","UNABLE TO DETERMINE",41.975234669,-87.65483162
"68","none",2021-11-24 18:00:00,18,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","TURNING","NOT DIVIDED","UNABLE TO DETERMINE",41.86708389,-87.644064643
"69","none",2021-11-24 17:56:00,17,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","IMPROPER OVERTAKING/PASSING",41.865653075,-87.686162524
"70","injuries",2021-11-24 17:50:00,17,"ON SCENE",2,25,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","PEDESTRIAN","NOT DIVIDED","UNABLE TO DETERMINE",41.924322496,-87.748257088
"71","none",2021-11-24 17:45:00,17,"ON SCENE",2,35,"CLEAR","DAWN","UNKNOWN","ANGLE","DIVIDED - W/MEDIAN (NOT RAISED)","DISREGARDING OTHER TRAFFIC SIGNS",41.751339705,-87.585632266
"72","none",2021-11-24 17:45:00,17,"NOT ON SCENE (DESK REPORT)",1,30,"UNKNOWN","UNKNOWN","UNKNOWN","FIXED OBJECT","NOT DIVIDED","UNABLE TO DETERMINE",41.960384772,-87.68394615
"73","none",2021-11-24 17:30:00,17,"NOT ON SCENE (DESK REPORT)",2,10,"CLEAR","DARKNESS","DRY","ANGLE","PARKING LOT","UNABLE TO DETERMINE",41.910948763,-87.653159551
"74","none",2021-11-24 17:23:00,17,"ON SCENE",2,15,"CLEAR","DARKNESS","DRY","PARKED MOTOR VEHICLE","PARKING LOT","UNABLE TO DETERMINE",41.736714706,-87.585061351
"75","none",2021-11-24 17:17:00,17,"ON SCENE",2,35,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","REAR TO FRONT","NOT DIVIDED","IMPROPER BACKING",41.884316388,-87.706071311
"76","none",2021-11-24 17:15:00,17,"NOT ON SCENE (DESK REPORT)",2,0,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","PARKED MOTOR VEHICLE","OTHER","IMPROPER LANE USAGE",41.751727149,-87.558407213
"77","injuries",2021-11-24 17:15:00,17,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","ANGLE","FOUR WAY","FAILING TO YIELD RIGHT-OF-WAY",41.655346235,-87.608683071
"78","none",2021-11-24 17:15:00,17,"NOT ON SCENE (DESK REPORT)",2,30,"OTHER","DARKNESS","DRY","ANGLE","NOT DIVIDED","FAILING TO YIELD RIGHT-OF-WAY",41.930200961,-87.71239819
"79","none",2021-11-24 17:00:00,17,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS","DRY","REAR END","NOT DIVIDED","NOT APPLICABLE",41.793597513,-87.693942048
"80","none",2021-11-24 17:00:00,17,"ON SCENE",2,30,"CLEAR","DAYLIGHT","DRY","TURNING","DIVIDED - W/MEDIAN (NOT RAISED)","FAILING TO YIELD RIGHT-OF-WAY",41.857370123,-87.68571068
"81","none",2021-11-24 16:51:00,16,"NOT ON SCENE (DESK REPORT)",2,25,"CLEAR","UNKNOWN","DRY","ANGLE","NOT DIVIDED","UNABLE TO DETERMINE",41.952458195,-87.757242513
"82","injuries",2021-11-24 16:43:00,16,"ON SCENE",2,30,"CLEAR","DUSK","DRY","TURNING","NOT DIVIDED","IMPROPER TURNING/NO SIGNAL",41.879483634,-87.745389168
"83","none",2021-11-24 16:40:00,16,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","FAILING TO REDUCE SPEED TO AVOID CRASH",41.786067359,-87.710800151
"84","none",2021-11-24 16:34:00,16,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","IMPROPER OVERTAKING/PASSING",41.706688174,-87.655001895
"85","none",2021-11-24 16:30:00,16,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","FAILING TO REDUCE SPEED TO AVOID CRASH",41.807788769,-87.723730332
"86","injuries",2021-11-24 16:27:00,16,"ON SCENE",2,30,"CLEAR","DAYLIGHT","DRY","REAR END","NOT DIVIDED","UNABLE TO DETERMINE",41.924278646,-87.736417865
"87","injuries",2021-11-24 16:05:00,16,"ON SCENE",2,25,"CLEAR","DUSK","DRY","ANGLE","FOUR WAY","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",41.946940424,-87.681044584
"88","none",2021-11-24 16:02:00,16,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN (NOT RAISED)","IMPROPER LANE USAGE",41.851158217,-87.724895542
"89","injuries",2021-11-24 16:00:00,16,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER","UNABLE TO DETERMINE",41.809419147,-87.603747733
"90","none",2021-11-24 16:00:00,16,"ON SCENE",2,20,"CLEAR","DAYLIGHT","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","UNABLE TO DETERMINE",41.892630436,-87.659670706
"91","none",2021-11-24 15:55:00,15,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","TURNING","NOT DIVIDED","UNABLE TO DETERMINE",41.866330574,-87.721579405
"92","none",2021-11-24 15:50:00,15,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","PARKED MOTOR VEHICLE","ONE-WAY","UNABLE TO DETERMINE",41.805064631,-87.601759965
"93","none",2021-11-24 15:50:00,15,"ON SCENE",2,30,"CLEAR","DUSK","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","UNABLE TO DETERMINE",41.938273871,-87.795324082
"94","none",2021-11-24 15:40:00,15,"ON SCENE",2,40,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER","IMPROPER OVERTAKING/PASSING",41.793456251,-87.580318542
"95","none",2021-11-24 15:40:00,15,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","TURNING","NOT DIVIDED","UNABLE TO DETERMINE",41.886029429,-87.737614672
"96","injuries",2021-11-24 15:40:00,15,"ON SCENE",2,25,"CLEAR","DAYLIGHT","DRY","PEDALCYCLIST","NOT DIVIDED","FAILING TO YIELD RIGHT-OF-WAY",41.883970044,-87.676115991
"97","injuries",2021-11-24 15:40:00,15,"ON SCENE",3,30,"CLEAR","DAYLIGHT","DRY","ANGLE","NOT DIVIDED","DISREGARDING STOP SIGN",41.79305823,-87.729432661
"98","none",2021-11-24 15:39:00,15,"ON SCENE",2,30,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN (NOT RAISED)","UNABLE TO DETERMINE",41.779342131,-87.679920202
"99","none",2021-11-24 15:35:00,15,"ON SCENE",2,35,"CLEAR","DAYLIGHT","DRY","REAR END","CENTER TURN LANE","UNABLE TO DETERMINE",41.851686339,-87.723509186
"100","none",2021-11-24 15:30:00,15,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","UNABLE TO DETERMINE",41.89596285,-87.6673493
"101","none",2021-11-24 15:30:00,15,"ON SCENE",2,30,"CLEAR","DAYLIGHT","DRY","REAR END","NOT DIVIDED","DISTRACTION - FROM OUTSIDE VEHICLE",41.846053777,-87.719782501
"102","none",2021-11-24 15:25:00,15,"NOT ON SCENE (DESK REPORT)",2,20,"CLEAR","DAYLIGHT","DRY","PARKED MOTOR VEHICLE","ONE-WAY","UNABLE TO DETERMINE",41.968051875,-87.724507054
"103","none",2021-11-24 15:25:00,15,"NOT ON SCENE (DESK REPORT)",2,35,"CLEAR","DAYLIGHT","DRY","REAR END","FOUR WAY","FOLLOWING TOO CLOSELY",41.691206664,-87.720554863
"104","none",2021-11-24 15:15:00,15,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","IMPROPER OVERTAKING/PASSING",41.802003535,-87.746821874
"105","none",2021-11-24 15:05:00,15,"ON SCENE",2,30,"CLEAR","DAYLIGHT","DRY","TURNING","NOT DIVIDED","IMPROPER TURNING/NO SIGNAL",41.83083351,-87.64817145
"106","none",2021-11-24 15:00:00,15,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","IMPROPER OVERTAKING/PASSING",41.93164142,-87.746719911
"107","none",2021-11-24 15:00:00,15,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","UNKNOWN","DRY","TURNING","NOT DIVIDED","FAILING TO REDUCE SPEED TO AVOID CRASH",41.933959342,-87.697818532
"108","none",2021-11-24 15:00:00,15,"NOT ON SCENE (DESK REPORT)",2,10,"CLEAR","UNKNOWN","UNKNOWN","ANGLE","PARKING LOT","UNABLE TO DETERMINE",41.990729218,-87.682979454
"109","none",2021-11-24 15:00:00,15,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","UNABLE TO DETERMINE",41.647642059,-87.5450407
"110","none",2021-11-24 15:00:00,15,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","ANGLE","OTHER","FAILING TO YIELD RIGHT-OF-WAY",41.793098494,-87.699734919
"111","none",2021-11-24 15:00:00,15,"NOT ON SCENE (DESK REPORT)",2,20,"CLEAR","DAYLIGHT","DRY","REAR END","ONE-WAY","UNABLE TO DETERMINE",41.99625764,-87.656856597
"112","injuries",2021-11-24 14:53:00,14,"ON SCENE",2,30,"CLEAR","DAYLIGHT","DRY","ANGLE","FOUR WAY","FAILING TO YIELD RIGHT-OF-WAY",41.861533275,-87.668784063
"113","none",2021-11-24 14:45:00,14,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","PARKED MOTOR VEHICLE","ONE-WAY","NOT APPLICABLE",41.791303886,-87.695100336
"114","none",2021-11-24 14:45:00,14,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","PARKED MOTOR VEHICLE","PARKING LOT","IMPROPER OVERTAKING/PASSING",41.862628294,-87.615031094
"115","none",2021-11-24 14:32:00,14,"NOT ON SCENE (DESK REPORT)",2,25,"CLEAR","DAYLIGHT","UNKNOWN","SIDESWIPE OPPOSITE DIRECTION","FOUR WAY","IMPROPER OVERTAKING/PASSING",41.868788822,-87.640916922
"116","none",2021-11-24 14:30:00,14,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","IMPROPER OVERTAKING/PASSING",41.923648648,-87.803083943
"117","none",2021-11-24 14:25:00,14,"ON SCENE",2,30,"CLEAR","DAYLIGHT","DRY","REAR END","OTHER","UNABLE TO DETERMINE",41.855807933,-87.645162677
"118","none",2021-11-24 14:24:00,14,"ON SCENE",2,30,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","IMPROPER OVERTAKING/PASSING",41.934211613,-87.688093006
"119","none",2021-11-24 14:15:00,14,"ON SCENE",2,40,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER","IMPROPER LANE USAGE",41.92616072,-87.631514665
"120","none",2021-11-24 14:15:00,14,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DAYLIGHT","DRY","SIDESWIPE SAME DIRECTION","NOT DIVIDED","IMPROPER OVERTAKING/PASSING",41.779365717,-87.665625375
